sale_id,sale_date,product_id,product_name,category,customer_id,customer_name,salesperson_id,quantity,unit_price,discount,total_amount,payment_method,shipping_mode,region,sale_date_only,sale_year,sale_month,sale_day
SALE100020,2025-09-04 01:17:03.030096,P003,Gaming Chair,Furniture,CUST0090,Anthony Thomas,SP003,1,259.67,28.2,231.47,Cash,Express,East,2025-09-04,2025,9,4
SALE100021,2025-12-27 08:17:03.030096,P007,Desk Lamp,Furniture,CUST0030,Ryan Howard,SP001,2,35.7,8.1,63.3,Credit Card,Express,North,2025-12-27,2025,12,27
SALE100022,2025-04-17 13:17:03.030096,P006,Webcam HD,Electronics,CUST0049,Ruth Sanders,SP001,1,87.78,0.0,87.78,PayPal,Next Day,North,2025-04-17,2025,4,17
SALE100023,2025-11-07 16:17:03.030096,P006,Webcam HD,Electronics,CUST0096,Helen Kelly,SP003,1,71.61,0.0,71.61,Bank Transfer,Express,East,2025-11-07,2025,11,7
SALE100024,2025-06-25 08:17:03.030096,P003,Gaming Chair,Furniture,CUST0033,Kevin Ramirez,SP002,2,271.11,0.0,542.22,PayPal,Express,South,2025-06-25,2025,6,25
SALE100025,2025-05-29 21:17:03.030096,P004,"Monitor 27""",Electronics,CUST0084,Mark Wilson,SP001,2,357.0,0.0,714.0,Cash,Next Day,North,2025-05-29,2025,5,29
SALE100026,2025-09-14 08:17:03.030096,P001,Laptop Pro,Electronics,CUST0037,Emily Clark,SP004,1,1249.61,211.87,1037.74,Bank Transfer,Express,West,2025-09-14,2025,9,14
SALE100027,2025-12-14 19:17:03.030096,P007,Desk Lamp,Furniture,CUST0022,Sharon Murphy,SP002,2,42.23,0.0,84.46,Bank Transfer,Standard,South,2025-12-14,2025,12,14
SALE100028,2025-03-07 20:17:03.030096,P003,Gaming Chair,Furniture,CUST0010,Nicholas Rodriguez,SP003,4,277.86,260.36,851.08,PayPal,Next Day,East,2025-03-07,2025,3,7
SALE100029,2025-05-06 07:17:03.030096,P007,Desk Lamp,Furniture,CUST0094,Andrew Sanders,SP002,3,37.68,0.0,113.04,Cash,Standard,South,2025-05-06,2025,5,6
SALE100030,2025-02-23 14:17:03.030096,P006,Webcam HD,Electronics,CUST0017,Nancy Lopez,SP001,3,72.01,0.0,216.03,PayPal,Standard,North,2025-02-23,2025,2,23
SALE100031,2025-06-14 06:17:03.030096,P007,Desk Lamp,Furniture,CUST0047,Eric Flores,SP001,3,35.75,0.0,107.25,Bank Transfer,Express,North,2025-06-14,2025,6,14
SALE100032,2025-11-30 05:17:03.030096,P006,Webcam HD,Electronics,CUST0098,Michelle Clark,SP001,1,78.74,15.91,62.83,Credit Card,Standard,North,2025-11-30,2025,11,30
SALE100033,2025-04-10 00:17:03.030096,P007,Desk Lamp,Furniture,CUST0032,Donna Davis,SP001,1,39.77,9.11,30.66,Bank Transfer,Next Day,North,2025-04-10,2025,4,10
SALE100034,2025-03-03 23:17:03.030096,P006,Webcam HD,Electronics,CUST0008,Kimberly Jones,SP003,3,73.86,0.0,221.58,Credit Card,Express,East,2025-03-03,2025,3,3
SALE100035,2025-10-29 23:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0027,Jennifer King,SP002,1,137.84,18.07,119.77,Cash,Next Day,South,2025-10-29,2025,10,29
SALE100036,2025-11-05 06:17:03.030096,P004,"Monitor 27""",Electronics,CUST0009,Timothy Ramirez,SP001,1,396.91,0.0,396.91,Bank Transfer,Express,North,2025-11-05,2025,11,5
SALE100037,2025-11-08 06:17:03.030096,P003,Gaming Chair,Furniture,CUST0069,Eric Cox,SP001,3,278.07,0.0,834.21,Bank Transfer,Standard,North,2025-11-08,2025,11,8
SALE100038,2025-05-28 21:17:03.030096,P006,Webcam HD,Electronics,CUST0024,Stephanie Collins,SP001,2,81.35,10.54,152.16,Cash,Next Day,North,2025-05-28,2025,5,28
SALE100039,2025-07-28 02:17:03.030096,P004,"Monitor 27""",Electronics,CUST0096,Helen Kelly,SP003,2,345.01,0.0,690.02,Credit Card,Standard,East,2025-07-28,2025,7,28
SALE100040,2025-07-10 04:17:03.030096,P001,Laptop Pro,Electronics,CUST0049,Ruth Sanders,SP001,3,1359.42,0.0,4078.26,Cash,Next Day,North,2025-07-10,2025,7,10
SALE100041,2025-09-24 00:17:03.030096,P004,"Monitor 27""",Electronics,CUST0005,Joseph Thompson,SP003,1,362.26,48.14,314.12,Cash,Express,East,2025-09-24,2025,9,24
SALE100042,2025-02-22 23:17:03.030096,P006,Webcam HD,Electronics,CUST0086,Carol Scott,SP001,3,90.52,55.39,216.17,Cash,Next Day,North,2025-02-22,2025,2,22
SALE100043,2025-09-17 10:17:03.030096,P004,"Monitor 27""",Electronics,CUST0065,Carol Young,SP002,1,445.83,86.53,359.3,Credit Card,Express,South,2025-09-17,2025,9,17
SALE100044,2025-05-21 15:17:03.030096,P006,Webcam HD,Electronics,CUST0095,Laura Roberts,SP002,1,77.48,4.47,73.01,Cash,Express,South,2025-05-21,2025,5,21
SALE100045,2025-12-08 08:17:03.030096,P008,USB-C Hub,Accessories,CUST0035,Lisa Gonzalez,SP002,1,35.68,0.0,35.68,Bank Transfer,Standard,South,2025-12-08,2025,12,8
SALE100046,2025-07-02 10:17:03.030096,P008,USB-C Hub,Accessories,CUST0086,Carol Scott,SP001,2,39.98,0.0,79.96,Credit Card,Standard,North,2025-07-02,2025,7,2
SALE100047,2025-10-18 22:17:03.030096,P007,Desk Lamp,Furniture,CUST0063,Paul Harris,SP003,2,44.48,0.0,88.96,Credit Card,Standard,East,2025-10-18,2025,10,18
SALE100048,2025-10-26 15:17:03.030096,P006,Webcam HD,Electronics,CUST0092,Paul Taylor,SP001,1,87.21,0.0,87.21,Cash,Next Day,North,2025-10-26,2025,10,26
SALE100049,2025-11-27 15:17:03.030096,P007,Desk Lamp,Furniture,CUST0027,Jennifer King,SP002,1,36.75,0.0,36.75,Cash,Express,South,2025-11-27,2025,11,27
SALE100050,2025-05-05 16:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0083,Barbara Hill,SP004,2,145.51,0.0,291.02,Credit Card,Express,West,2025-05-05,2025,5,5
SALE100051,2025-12-06 21:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0094,Andrew Sanders,SP002,1,146.15,0.0,146.15,PayPal,Standard,South,2025-12-06,2025,12,6
SALE100052,2025-10-10 11:17:03.030096,P008,USB-C Hub,Accessories,CUST0042,Stephen Allen,SP001,3,34.02,0.0,102.06,PayPal,Standard,North,2025-10-10,2025,10,10
SALE100053,2025-02-27 14:17:03.030096,P007,Desk Lamp,Furniture,CUST0019,Jacob Wilson,SP004,1,40.68,0.0,40.68,Credit Card,Next Day,West,2025-02-27,2025,2,27
SALE100054,2025-11-20 13:17:03.030096,P008,USB-C Hub,Accessories,CUST0005,Joseph Thompson,SP003,1,33.81,7.41,26.4,Cash,Standard,East,2025-11-20,2025,11,20
SALE100055,2025-08-13 11:17:03.030096,P003,Gaming Chair,Furniture,CUST0001,Sandra Carter,SP001,3,331.56,0.0,994.68,Credit Card,Express,North,2025-08-13,2025,8,13
SALE100056,2025-06-18 22:17:03.030096,P002,Wireless Mouse,Accessories,CUST0072,Scott Davis,SP004,2,45.52,0.0,91.04,PayPal,Next Day,West,2025-06-18,2025,6,18
SALE100057,2025-09-01 11:17:03.030096,P001,Laptop Pro,Electronics,CUST0058,Linda Wright,SP003,3,1267.52,585.58,3216.98,PayPal,Next Day,East,2025-09-01,2025,9,1
SALE100058,2025-05-15 10:17:03.030096,P007,Desk Lamp,Furniture,CUST0025,Christopher Anderson,SP001,2,44.05,0.0,88.1,Cash,Next Day,North,2025-05-15,2025,5,15
SALE100059,2025-03-02 23:17:03.030096,P007,Desk Lamp,Furniture,CUST0073,Carol Stewart,SP002,1,41.65,0.0,41.65,PayPal,Express,South,2025-03-02,2025,3,2
SALE100060,2026-01-25 07:17:03.030096,P002,Wireless Mouse,Accessories,CUST0082,Barbara Collins,SP002,1,42.53,0.0,42.53,Credit Card,Express,South,2026-01-25,2026,1,25
SALE100061,2026-01-08 17:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0038,Stephen Thomas,SP002,2,129.41,51.2,207.62,Bank Transfer,Standard,South,2026-01-08,2026,1,8
SALE100062,2025-04-02 04:17:03.030096,P001,Laptop Pro,Electronics,CUST0051,Kenneth Morgan,SP004,5,1095.23,0.0,5476.15,Cash,Standard,West,2025-04-02,2025,4,2
SALE100063,2025-04-16 20:17:03.030096,P004,"Monitor 27""",Electronics,CUST0092,Paul Taylor,SP001,3,449.35,0.0,1348.05,PayPal,Express,North,2025-04-16,2025,4,16
SALE100064,2025-04-30 01:17:03.030096,P004,"Monitor 27""",Electronics,CUST0073,Carol Stewart,SP002,1,424.39,0.0,424.39,Cash,Express,South,2025-04-30,2025,4,30
SALE100065,2025-09-25 14:17:03.030096,P004,"Monitor 27""",Electronics,CUST0086,Carol Scott,SP001,2,389.17,0.0,778.34,PayPal,Express,North,2025-09-25,2025,9,25
SALE100066,2025-10-06 17:17:03.030096,P001,Laptop Pro,Electronics,CUST0042,Stephen Allen,SP001,1,1040.78,238.13,802.65,Credit Card,Express,North,2025-10-06,2025,10,6
SALE100067,2026-01-14 03:17:03.030096,P002,Wireless Mouse,Accessories,CUST0053,Eric Jones,SP001,2,42.07,0.0,84.14,Bank Transfer,Standard,North,2026-01-14,2026,1,14
SALE100068,2025-08-24 00:17:03.030096,P008,USB-C Hub,Accessories,CUST0034,Deborah Johnson,SP001,1,35.84,6.05,29.79,Bank Transfer,Express,North,2025-08-24,2025,8,24
SALE100069,2025-06-04 12:17:03.030096,P004,"Monitor 27""",Electronics,CUST0088,Sandra Roberts,SP002,1,422.81,0.0,422.81,Credit Card,Standard,South,2025-06-04,2025,6,4
SALE100070,2025-05-18 22:17:03.030096,P004,"Monitor 27""",Electronics,CUST0092,Paul Taylor,SP001,2,393.93,0.0,787.86,Cash,Express,North,2025-05-18,2025,5,18
SALE100071,2025-11-08 07:17:03.030096,P008,USB-C Hub,Accessories,CUST0015,Sandra Garcia,SP003,1,33.3,0.0,33.3,Cash,Express,East,2025-11-08,2025,11,8
SALE100072,2025-10-28 10:17:03.030096,P001,Laptop Pro,Electronics,CUST0084,Mark Wilson,SP001,1,1128.58,0.0,1128.58,PayPal,Next Day,North,2025-10-28,2025,10,28
SALE100073,2025-05-25 09:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0058,Linda Wright,SP003,2,125.77,0.0,251.54,PayPal,Express,East,2025-05-25,2025,5,25
SALE100074,2025-05-25 15:17:03.030096,P003,Gaming Chair,Furniture,CUST0085,Rebecca Johnson,SP003,1,291.65,0.0,291.65,PayPal,Next Day,East,2025-05-25,2025,5,25
SALE100075,2025-05-14 10:17:03.030096,P002,Wireless Mouse,Accessories,CUST0025,Christopher Anderson,SP001,1,45.3,0.0,45.3,Credit Card,Next Day,North,2025-05-14,2025,5,14
SALE100076,2025-05-12 08:17:03.030096,P001,Laptop Pro,Electronics,CUST0012,Joseph Murphy,SP001,1,1094.1,260.58,833.52,Bank Transfer,Next Day,North,2025-05-12,2025,5,12
SALE100077,2025-11-14 21:17:03.030096,P006,Webcam HD,Electronics,CUST0067,Sharon Bailey,SP003,2,87.28,0.0,174.56,Cash,Express,East,2025-11-14,2025,11,14
SALE100078,2025-03-13 15:17:03.030096,P004,"Monitor 27""",Electronics,CUST0044,Ashley Collins,SP002,2,399.89,0.0,799.78,Bank Transfer,Next Day,South,2025-03-13,2025,3,13
SALE100079,2025-05-10 21:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0097,Linda Hernandez,SP002,4,129.89,107.88,411.68,Credit Card,Express,South,2025-05-10,2025,5,10
SALE100080,2025-07-10 22:17:03.030096,P001,Laptop Pro,Electronics,CUST0057,William White,SP003,1,1306.53,163.23,1143.3,Credit Card,Express,East,2025-07-10,2025,7,10
SALE100081,2025-05-02 02:17:03.030096,P002,Wireless Mouse,Accessories,CUST0058,Linda Wright,SP003,2,44.96,0.0,89.92,Cash,Express,East,2025-05-02,2025,5,2
SALE100082,2025-02-12 10:17:03.030096,P003,Gaming Chair,Furniture,CUST0034,Deborah Johnson,SP001,1,265.21,0.0,265.21,Bank Transfer,Next Day,North,2025-02-12,2025,2,12
SALE100083,2026-01-28 02:17:03.030096,P004,"Monitor 27""",Electronics,CUST0079,Stephen Reed,SP001,1,424.34,0.0,424.34,Cash,Next Day,North,2026-01-28,2026,1,28
SALE100084,2025-09-16 20:17:03.030096,P008,USB-C Hub,Accessories,CUST0036,Jeffrey Watson,SP004,1,33.08,3.92,29.16,Cash,Next Day,West,2025-09-16,2025,9,16
SALE100085,2025-08-22 19:17:03.030096,P007,Desk Lamp,Furniture,CUST0022,Sharon Murphy,SP002,1,39.3,5.76,33.54,Bank Transfer,Next Day,South,2025-08-22,2025,8,22
SALE100086,2025-12-08 21:17:03.030096,P003,Gaming Chair,Furniture,CUST0075,Jeffrey Wood,SP001,3,262.24,0.0,786.72,Cash,Next Day,North,2025-12-08,2025,12,8
SALE100087,2026-01-15 11:17:03.030096,P001,Laptop Pro,Electronics,CUST0071,Elizabeth Green,SP001,1,1345.78,0.0,1345.78,Credit Card,Next Day,North,2026-01-15,2026,1,15
SALE100088,2025-12-11 11:17:03.030096,P007,Desk Lamp,Furniture,CUST0025,Christopher Anderson,SP001,2,45.57,7.28,83.86,Cash,Next Day,North,2025-12-11,2025,12,11
SALE100089,2025-09-19 16:17:03.030096,P001,Laptop Pro,Electronics,CUST0049,Ruth Sanders,SP001,3,1284.87,0.0,3854.61,Credit Card,Next Day,North,2025-09-19,2025,9,19
SALE100090,2025-05-14 10:17:03.030096,P001,Laptop Pro,Electronics,CUST0009,Timothy Ramirez,SP001,1,1201.07,0.0,1201.07,Credit Card,Standard,North,2025-05-14,2025,5,14
SALE100091,2025-08-06 16:17:03.030096,P004,"Monitor 27""",Electronics,CUST0071,Elizabeth Green,SP001,1,421.72,0.0,421.72,Credit Card,Express,North,2025-08-06,2025,8,6
SALE100092,2025-10-01 19:17:03.030096,P008,USB-C Hub,Accessories,CUST0021,Barbara Scott,SP001,1,37.38,0.0,37.38,PayPal,Express,North,2025-10-01,2025,10,1
SALE100093,2025-07-30 23:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0046,Susan Morgan,SP001,1,138.4,9.24,129.16,PayPal,Next Day,North,2025-07-30,2025,7,30
SALE100094,2025-07-14 12:17:03.030096,P003,Gaming Chair,Furniture,CUST0090,Anthony Thomas,SP003,1,306.2,62.77,243.43,Bank Transfer,Next Day,East,2025-07-14,2025,7,14
SALE100095,2025-05-13 02:17:03.030096,P006,Webcam HD,Electronics,CUST0004,David Ward,SP001,1,80.69,0.0,80.69,PayPal,Next Day,North,2025-05-13,2025,5,13
SALE100096,2025-08-28 00:17:03.030096,P008,USB-C Hub,Accessories,CUST0046,Susan Morgan,SP001,3,35.46,0.0,106.38,PayPal,Standard,North,2025-08-28,2025,8,28
SALE100097,2025-12-05 12:17:03.030096,P002,Wireless Mouse,Accessories,CUST0092,Paul Taylor,SP001,3,50.75,25.67,126.58,PayPal,Next Day,North,2025-12-05,2025,12,5
SALE100098,2025-03-26 06:17:03.030096,P004,"Monitor 27""",Electronics,CUST0059,Jason Lee,SP004,1,419.6,0.0,419.6,Cash,Standard,West,2025-03-26,2025,3,26
SALE100099,2025-03-02 08:17:03.030096,P004,"Monitor 27""",Electronics,CUST0097,Linda Hernandez,SP002,2,431.42,0.0,862.84,Credit Card,Next Day,South,2025-03-02,2025,3,2
SALE100100,2025-04-28 08:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0020,Matthew Price,SP003,1,133.16,25.27,107.89,PayPal,Next Day,East,2025-04-28,2025,4,28
SALE100101,2025-09-17 11:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0015,Sandra Garcia,SP003,1,124.67,0.0,124.67,Credit Card,Standard,East,2025-09-17,2025,9,17
SALE100102,2025-04-26 21:17:03.030096,P001,Laptop Pro,Electronics,CUST0074,Kenneth Sanders,SP001,1,1330.09,211.83,1118.26,Credit Card,Next Day,North,2025-04-26,2025,4,26
SALE100103,2025-04-16 10:17:03.030096,P003,Gaming Chair,Furniture,CUST0020,Matthew Price,SP003,2,303.29,0.0,606.58,Cash,Express,East,2025-04-16,2025,4,16
SALE100104,2025-04-25 03:17:03.030096,P002,Wireless Mouse,Accessories,CUST0017,Nancy Lopez,SP001,3,49.62,0.0,148.86,Bank Transfer,Express,North,2025-04-25,2025,4,25
SALE100105,2025-08-10 11:17:03.030096,P008,USB-C Hub,Accessories,CUST0053,Eric Jones,SP001,1,39.11,0.0,39.11,PayPal,Standard,North,2025-08-10,2025,8,10
SALE100106,2025-12-18 07:17:03.030096,P008,USB-C Hub,Accessories,CUST0080,Edward Williams,SP002,1,38.05,0.0,38.05,Cash,Next Day,South,2025-12-18,2025,12,18
SALE100107,2025-10-04 20:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0069,Eric Cox,SP001,1,111.46,24.05,87.41,Cash,Standard,North,2025-10-04,2025,10,4
SALE100108,2025-10-28 21:17:03.030096,P002,Wireless Mouse,Accessories,CUST0068,Kenneth Cox,SP001,3,43.92,0.0,131.76,Credit Card,Express,North,2025-10-28,2025,10,28
SALE100109,2025-11-03 04:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0089,Carol Barnes,SP003,1,119.7,0.0,119.7,Cash,Next Day,East,2025-11-03,2025,11,3
SALE100110,2026-01-07 22:17:03.030096,P007,Desk Lamp,Furniture,CUST0064,Ashley Phillips,SP004,1,38.47,4.55,33.92,PayPal,Express,West,2026-01-07,2026,1,7
SALE100111,2025-04-01 22:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0001,Sandra Carter,SP001,1,140.23,0.0,140.23,Cash,Next Day,North,2025-04-01,2025,4,1
SALE100112,2025-08-24 13:17:03.030096,P001,Laptop Pro,Electronics,CUST0072,Scott Davis,SP004,1,1203.76,126.39,1077.37,Bank Transfer,Standard,West,2025-08-24,2025,8,24
SALE100113,2025-04-18 05:17:03.030096,P003,Gaming Chair,Furniture,CUST0006,Nancy Price,SP002,2,304.06,59.27,548.85,Credit Card,Next Day,South,2025-04-18,2025,4,18
SALE100114,2025-03-22 11:17:03.030096,P007,Desk Lamp,Furniture,CUST0072,Scott Davis,SP004,3,36.89,0.0,110.67,Cash,Express,West,2025-03-22,2025,3,22
SALE100115,2025-09-07 20:17:03.030096,P001,Laptop Pro,Electronics,CUST0042,Stephen Allen,SP001,2,1346.93,0.0,2693.86,Credit Card,Standard,North,2025-09-07,2025,9,7
SALE100116,2025-09-30 03:17:03.030096,P006,Webcam HD,Electronics,CUST0079,Stephen Reed,SP001,1,78.55,6.23,72.32,Credit Card,Next Day,North,2025-09-30,2025,9,30
SALE100117,2025-11-19 16:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0075,Jeffrey Wood,SP001,1,114.62,0.0,114.62,Credit Card,Standard,North,2025-11-19,2025,11,19
SALE100118,2026-02-04 12:17:03.030096,P007,Desk Lamp,Furniture,CUST0066,Kimberly Bell,SP003,2,41.66,0.0,83.32,Cash,Next Day,East,2026-02-04,2026,2,4
SALE100119,2025-11-12 18:17:03.030096,P008,USB-C Hub,Accessories,CUST0072,Scott Davis,SP004,1,30.46,0.0,30.46,Bank Transfer,Standard,West,2025-11-12,2025,11,12
SALE100120,2025-02-21 01:17:03.030096,P007,Desk Lamp,Furniture,CUST0083,Barbara Hill,SP004,1,43.98,7.75,36.23,PayPal,Standard,West,2025-02-21,2025,2,21
SALE100121,2025-11-26 17:17:03.030096,P006,Webcam HD,Electronics,CUST0096,Helen Kelly,SP003,3,75.04,49.19,175.93,Credit Card,Express,East,2025-11-26,2025,11,26
SALE100122,2025-06-26 18:17:03.030096,P002,Wireless Mouse,Accessories,CUST0066,Kimberly Bell,SP003,3,43.31,0.0,129.93,Bank Transfer,Next Day,East,2025-06-26,2025,6,26
SALE100123,2025-03-07 08:17:03.030096,P003,Gaming Chair,Furniture,CUST0012,Joseph Murphy,SP001,5,279.45,75.28,1321.97,Cash,Express,North,2025-03-07,2025,3,7
SALE100124,2025-05-10 21:17:03.030096,P003,Gaming Chair,Furniture,CUST0015,Sandra Garcia,SP003,1,301.68,28.74,272.94,Bank Transfer,Standard,East,2025-05-10,2025,5,10
SALE100125,2025-11-23 07:17:03.030096,P008,USB-C Hub,Accessories,CUST0050,Sharon Ross,SP001,1,32.51,8.11,24.4,PayPal,Express,North,2025-11-23,2025,11,23
SALE100126,2025-04-26 01:17:03.030096,P002,Wireless Mouse,Accessories,CUST0011,Cynthia Smith,SP004,1,46.77,0.0,46.77,PayPal,Standard,West,2025-04-26,2025,4,26
SALE100127,2025-07-25 06:17:03.030096,P006,Webcam HD,Electronics,CUST0080,Edward Williams,SP002,2,87.94,39.96,135.92,Cash,Next Day,South,2025-07-25,2025,7,25
SALE100128,2025-06-04 13:17:03.030096,P002,Wireless Mouse,Accessories,CUST0046,Susan Morgan,SP001,2,46.64,0.0,93.28,PayPal,Standard,North,2025-06-04,2025,6,4
SALE100129,2025-09-25 08:17:03.030096,P002,Wireless Mouse,Accessories,CUST0032,Donna Davis,SP001,2,41.99,18.18,65.8,Credit Card,Express,North,2025-09-25,2025,9,25
SALE100130,2025-07-25 00:17:03.030096,P008,USB-C Hub,Accessories,CUST0035,Lisa Gonzalez,SP002,2,39.62,0.0,79.24,Cash,Express,South,2025-07-25,2025,7,25
SALE100131,2025-11-11 12:17:03.030096,P002,Wireless Mouse,Accessories,CUST0058,Linda Wright,SP003,4,40.5,0.0,162.0,PayPal,Express,East,2025-11-11,2025,11,11
SALE100132,2025-08-30 20:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0090,Anthony Thomas,SP003,4,147.75,0.0,591.0,PayPal,Standard,East,2025-08-30,2025,8,30
SALE100133,2025-02-14 16:17:03.030096,P004,"Monitor 27""",Electronics,CUST0059,Jason Lee,SP004,2,386.73,120.8,652.66,PayPal,Next Day,West,2025-02-14,2025,2,14
SALE100134,2026-01-26 18:17:03.030096,P006,Webcam HD,Electronics,CUST0080,Edward Williams,SP002,3,84.44,0.0,253.32,Credit Card,Next Day,South,2026-01-26,2026,1,26
SALE100135,2025-02-23 08:17:03.030096,P003,Gaming Chair,Furniture,CUST0030,Ryan Howard,SP001,2,314.79,0.0,629.58,Cash,Next Day,North,2025-02-23,2025,2,23
SALE100136,2025-11-14 20:17:03.030096,P002,Wireless Mouse,Accessories,CUST0053,Eric Jones,SP001,1,44.24,7.35,36.89,Cash,Standard,North,2025-11-14,2025,11,14
SALE100137,2025-07-25 20:17:03.030096,P006,Webcam HD,Electronics,CUST0050,Sharon Ross,SP001,1,82.77,11.58,71.19,PayPal,Next Day,North,2025-07-25,2025,7,25
SALE100138,2026-02-04 17:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0023,Kimberly Moore,SP003,3,126.87,0.0,380.61,Cash,Next Day,East,2026-02-04,2026,2,4
SALE100139,2025-03-15 23:17:03.030096,P007,Desk Lamp,Furniture,CUST0053,Eric Jones,SP001,2,36.15,0.0,72.3,Bank Transfer,Next Day,North,2025-03-15,2025,3,15
SALE100140,2025-05-28 12:17:03.030096,P003,Gaming Chair,Furniture,CUST0093,Pamela Watson,SP001,3,337.54,0.0,1012.62,PayPal,Next Day,North,2025-05-28,2025,5,28
SALE100141,2025-03-04 11:17:03.030096,P004,"Monitor 27""",Electronics,CUST0098,Michelle Clark,SP001,1,343.11,0.0,343.11,Cash,Express,North,2025-03-04,2025,3,4
SALE100142,2025-03-05 09:17:03.030096,P004,"Monitor 27""",Electronics,CUST0077,Sarah Barnes,SP002,2,409.22,0.0,818.44,Cash,Standard,South,2025-03-05,2025,3,5
